"nearest_warehouse","order_price","delivery_charges","customer_lat","customer_long","coupon_discount","order_total","season","is_expedited_delivery","distance_to_nearest_warehouse","is_happy_customer"
"Thompson",12200,79.89,-37.8151052,144.9328434,10,11059.89,"Winter","True",1.28,"True"
"Thompson",9080,62.71,-37.8027362,144.9511178,0,9142.71,"Summer","False",1.1621,"False"
"Nickolson",10670,65.87,-37.8213016,144.9575809,10,9668.87,"Autumn","False",1.0949,"True"
"Nickolson",24800,57.61,-37.8114157,144.9730729,15,21137.61,"Summer","False",0.8571,"False"
"Nickolson",9145,75.54,37.8238586,144.9698923,25,6934.29,"Spring","False",0.5867,"True"
"Bakers",7810,71.22,37.8202452,145.0149442,10,7100.22,"Spring","False",2.0752,"False"
"Thompson",13700,74.84,-37.8077429,144.9515704,5,13089.84,"Spring","False",0.6767,"True"
"Thompson",7960,52.28,-37.8063372,144.9595445,5,10789.79,"Autumn","False",1.3043,"False"
"Bakers",25390,107.58,-37.8108099,145.0140735,10,22958.58,"Spring","True",1.6595,"True"
"Thompson",13320,62.26,-37.808675,144.9423368,15,11384.26,"Winter","True",0.6093,"False"
"Bakers",31895,78.25,-37.8113336,145.0086784,0,31973.25,"Winter","True",1.1919,"True"
"Nickolson",13850,77.29,-37.8202279,144.9574109,25,10464.79,"Summer","False",1.0829,"True"
"Thompson",19010,94.75,-37.8054326,144.9413327,0,926057.25,"Summer","True",0.9509,"True"
"Nickolson",19710,75.64,-37.8161657,144.9752775,0,19785.64,"Summer","True",0.5716,"False"
"Nickolson",31900,79.78,-37.8094626,144.9723672,0,31979.78,"Autumn","True",66.6483,"True"
"Bakers",20200,46.35,-37.8081254,144.9867964,25,15196.35,"Autumn","False",0.7706,"False"
"Nickolson",14810,80.69,-37.8042307,144.9717294,25,11188.19,"Winter","True",1.6104,"True"
"Nickolson",1655,63.27,-37.8141139,144.9714122,25,1304.52,"Winter","False",0.525,"True"
"Nickolson",6535,60.64,-37.8091799,144.9728744,5,6268.89,"Summer","False",1.088,"False"
"Nickolson",6545,77.11,-37.8149171,144.9680205,5,6294.86,"Summer","True",61.2935,"False"
"Thompson",13710,77.61,-37.809311,145.0185951,0,13787.61,"Spring","False",1.2791,"True"
"Bakers",4750,73.05,-37.8028178,144.992404,0,4823.05,"Winter","False",0.8369,"True"
"Nickolson",22730,63.51,-37.8095956,144.9638143,25,17111.01,"Spring","False",1.1216,"False"
"Bakers",5675,73.03,-37.8069808,144.9942382,5,5464.28,"Spring","False",0.3468,"True"
"Thompson",18390,68.69,-37.7995959,144.9605411,5,17539.19,"Autumn","False",1.877,"True"
"Bakers",2910,91.48,-37.813288,145.0104152,25,2273.98,"Spring","True",1.3846,"False"
"Bakers",22490,105.04,-37.802871,145.0166333,10,20346.04,"Summer","True",2.0425,"True"
"Nickolson",5585,78.28,-37.8200704,145.0117177,0,5663.28,"Winter","True",0.9992,"True"
"Nickolson",18960,77.8,-37.812004,144.9636734,10,17141.8,"Summer","True",0.8975,"False"
"Thompson",21730,69.68,-37.8253426,144.9513179,10,19626.68,"Autumn","False",1.459,"True"
"Nickolson",12210,77.24,-37.8201805,144.980577,0,12287.24,"Winter","True",0.9855,"True"
"Thompson",15820,64.81,-37.8115241,144.9592206,15,402307.25,"Autumn","False",1.0763,"True"
"Bakers",7830,70.74,-37.791144,144.9368632,0,7900.74,"Autumn","True",2.5592,"False"
"Thompson",17805,74.79,-37.8076815,144.9544519,5,16989.54,"Summer","False",0.8546,"True"
"Thompson",22460,70.09,-37.7998828,144.9272705,15,19161.09,"Winter","False",2.2493,"True"
"Nickolson",3750,92.94,-37.8069542,144.9542763,15,3280.44,"Summer","True",0.8984,"True"
"Bakers",13510,53.95,-37.8032831,145.007438,25,10186.45,"Winter","False",1.308,"False"
"Nickolson",12770,52.12,-37.8095947,144.9636776,0,12822.12,"Winter","False",1.1272,"True"
"Nickolson",13595,64.53,-37.8140167,144.9654387,15,11620.28,"Autumn","False",0.6249,"True"
"Bakers",15275,91.46,-37.8119347,145.0134889,15,13075.21,"Spring","True",1.62,"False"
"Thompson",7535,66.54,-37.8040253,144.9528506,25,5717.79,"Autumn","False",1.1956,"True"
"Nickolson",14070,73.33,-37.8200673,144.9586124,15,620502.3,"Summer","False",0.9757,"True"
"Thompson",9865,52.2,-37.8122134,144.9519126,15,8437.45,"Summer","False",0.429,"False"
"Nickolson",8490,66.07,-37.8121368,144.9739924,5,8131.57,"Autumn","False",0.8182,"True"
"Thompson",13755,67.01,-37.8068782,144.9560174,0,13822.01,"Autumn","False",1.0176,"True"
"Thompson",8200,66.01,-37.7990648,144.9454199,10,7446.01,"Summer","False",1.5218,"False"
"Thompson",14000,98.3,-37.8217934,144.9907543,25,10598.3,"Summer","True",1.371,"True"
"Thompson",8770,66.33,-37.8240667,145.0163708,0,8836.33,"Spring","False",1.3039,"False"
"Thompson",29580,94.73,-37.8125043,144.9374633,5,28195.73,"Summer","True",0.845,"True"
"Thompson",20360,78.81,-37.8210844,144.9550887,5,19420.81,"Winter","True",1.1722,"True"
"Nickolson",7900,77.82,-37.8153678,144.975339,0,7977.82,"Autumn","True",0.623,"True"
"Nickolson",11650,96.56,-37.8113389,145.0085819,15,9999.06,"Summer","True",1.1835,"True"
"Thompson",2390,76.36,-37.8096114,144.9595749,5,2346.86,"Summer","False",1.1514,"True"
"Nickolson",16180,50.05,-37.0266563,144.9630777,5,15421.05,"Winter","False",0.7368,"False"
"Nickolson",2330,89.45,-37.8214213,144.9639248,5,2302.95,"Summer","True",0.5863,"True"
"Nickolson",43520,62.93,-37.8221851,144.9786566,5,41406.93,"Winter","True",0.8949,"False"
"Bakers",4405,65.72,-37.8041871,145.0022771,0,4470.72,"Autumn","False",0.8956,"False"
"Nickolson",17410,66.7,-37.8248801,144.9847117,5,22306.28,"Spring","False",1.5055,"False"
"Thompson",4685,65.27,-37.8080577,144.9609388,25,3579.02,"Autumn","False",1.3236,"True"
"Bakers",17765,67.96,-37.8147977,145.0118159,15,15168.21,"Spring","False",1.5533,"False"
"Thompson",7760,52.6,-37.8108227,145.0166183,10,7036.6,"Autumn","False",1.3344,"False"
"Bakers",37150,65.32,-37.8039824,145.0075865,0,37215.32,"Winter","True",1.2762,"False"
"Thompson",23875,66.95,-37.8020319,144.9570706,25,17973.2,"Spring","False",1.4754,"False"
"Nickolson",19710,63.3,-37.8146744,144.963545,25,14845.8,"Autumn","True",0.6851,"False"
"Thompson",5890,78.13,-37.8068633,144.9589424,10,5379.13,"Winter","False",1.2283,"True"
"Nickolson",19400,72.47,-37.8207167,144.9707771,15,16562.47,"Spring","False",0.2596,"True"
"Nickolson",5905,95.22,-37.8179057,144.9706398,15,5114.47,"Spring","True",0.1227,"True"
"Thompson",61619,79.39,-37.8066068,144.9324524,15,18316.14,"Summer","False",1.452,"True"
"Nickolson",10020,100.79,-37.8144836,144.9619659,5,9619.79,"Spring","True",0.8089,"True"
"Bakers",21500,92.62,-37.8023255,144.9777778,15,18367.62,"Spring","True",1.7566,"False"
"Thompson",655164,81.7,-37.8040911,144.9619114,10,16803.7,"Winter","True",1.6176,"True"
"Nickolson",26540,76.53,-37.8248015,144.9690242,0,26616.53,"Winter","True",0.6924,"True"
"Nickolson",10260,81.6,-37.8260331,144.9835017,15,8802.6,"Spring","False",1.48,"True"
"Thompson",24210,83.23,-37.798879,144.9516355,0,24293.23,"Autumn","True",1.5872,"True"
"Nickolson",4510,79.92,-37.024913,144.9842075,15,3913.42,"Summer","False",1.4323,"True"
"Thompson",14275,77.18,-37.8062244,144.9554662,15,12210.93,"Summer","False",1.0299,"True"
"Thompson",2605,85.06,-37.8021972,144.9630762,0,2690.06,"Spring","False",1.8281,"True"
"Nickolson",29470,59.68,-37.8125018,144.9632414,5,28056.18,"Spring","False",0.8763,"False"
"Bakers",35205,73.58,-37.8085633,145.0001673,10,31758.08,"Summer","True",0.4624,"False"
"Thompson",12090,66.73,-37.807841,144.938431,25,9134.23,"Autumn","False",0.9308,"True"
"Nickolson",4470,63.92,-37.8204423,144.9640738,25,3416.42,"Winter","False",0.5237,"True"
"Thompson",19165,71.34,-37.8142701,144.9493838,25,393761.23,"Spring","False",0.2703,"True"
"Nickolson",19430,74.08,-37.8176138,144.9730313,25,14646.58,"Autumn","True",0.325,"False"
"Thompson",9125,76.98,-37.818841,144.9532845,15,7833.23,"Winter","True",0.8776,"False"
"Nickolson",4415,75.22,-37.8121236,144.9739868,0,4490.22,"Spring","False",0.8192,"True"
"Nickolson",24510,87.54,-37.8144221,145.0161351,0,24597.54,"Spring","True",0.8572,"False"
"Thompson",14150,73.11,-37.8029953,144.9281069,10,12808.11,"Winter","False",1.9854,"True"
"Bakers",20520,58.61,-37.0916265,144.9952241,25,15448.61,"Summer","False",0.8283,"False"
